Word,Frequency,Index
the,347447,2
and,192659,3
a,179596,4
of,172624,5
to,160675,6
in,111795,7
is,83007,8
his,67841,9
with,53248,10
her,47128,11
he,42959,12
for,42580,13
that,40723,14
on,38023,15
as,35432,16
their,32418,17
by,31123,18
an,29776,19
from,29577,20
who,28576,21
they,25454,22
she,24178,23
this,23193,24
are,23056,25
but,22887,26
has,21626,27
it,21063,28
at,20937,29
life,18532,30
one,17652,31
when,17389,32
him,16876,33
be,14937,34
was,14258,35
all,13785,36
will,13405,37
film,13404,38
about,13162,39
out,13056,40
into,12915,41
up,12795,42
have,12449,43
new,11914,44
not,11551,45
after,11291,46
world,10964,47
story,10650,48
young,10276,49
them,10237,50
two,9926,51
love,9724,52
time,9383,53
family,9351,54
man,9277,55
which,9230,56
what,9206,57
through,8418,58
or,8408,59
years,8276,60
only,8244,61
people,7938,62
old,7441,63
more,7437,64
where,7339,65
can,7187,66
first,6932,67
other,6836,68
day,6698,69
find,6628,70
we,6619,71
get,6615,72
while,6608,73
how,6596,74
been,6502,75
lives,6480,76
home,6382,77
also,6319,78
you,6316,79
own,6228,80
over,6226,81
most,6075,82
father,6060,83
no,6053,84
so,6046,85
back,5999,86
way,5972,88
there,5972,87
some,5805,89
each,5694,91
documentary,5694,90
year,5577,92
make,5324,93
now,5306,94
its,5299,95
woman,5255,96
between,5198,97
friends,5109,98
just,5056,99
mother,5020,100
being,5017,101
girl,4958,102
take,4922,103
three,4892,104
these,4877,105
then,4775,106
work,4765,107
like,4749,108
wife,4748,109
takes,4732,110
finds,4689,111
had,4678,112
do,4625,113
city,4593,114
son,4591,115
show,4554,116
before,4548,117
school,4427,118
help,4400,119
than,4357,120
town,4336,121
live,4292,122
were,4247,123
many,4242,124
house,4236,125
go,4198,126
series,4139,127
both,4103,128
friend,4033,129
death,4001,130
war,3999,131
together,3996,132
daughter,3957,133
i,3943,134
journey,3923,135
it's,3912,136
our,3884,137
himself,3884,138
women,3856,139
night,3846,140
even,3830,141
off,3821,142
well,3807,144
during,3807,143
american,3768,145
down,3729,146
if,3722,147
around,3702,148
must,3620,149
gets,3614,150
very,3608,151
music,3597,152
against,3576,153
become,3564,154
place,3538,155
best,3522,156
2016,3493,157
men,3484,158
money,3402,159
living,3391,160
however,3366,161
becomes,3345,162
children,3342,163
group,3332,164
come,3329,165
2017,3324,166
long,3300,167
never,3256,168
past,3243,169
end,3236,170
goes,3232,171
set,3228,172
us,3220,173
last,3185,174
would,3176,175
small,3164,176
2015,3117,177
comes,3117,178
little,3098,179
movie,3087,180
does,3084,181
high,3082,182
real,3080,183
see,3065,184
soon,3050,185
away,3037,186
history,3017,187
different,2920,188
de,2912,189
behind,2911,190
another,2892,191
country,2875,192
wants,2859,193
same,2838,194
local,2827,195
made,2814,196
husband,2797,197
part,2792,198
meets,2766,199
decides,2751,200
stories,2715,201
tells,2710,202
2014,2709,203
job,2703,204
brother,2696,205
every,2692,206
good,2690,207
your,2616,208
police,2610,209
2012,2607,210
great,2597,211
boy,2589,213
follows,2589,212
those,2586,214
2013,2569,215
until,2560,216
along,2554,217
still,2553,219
2009,2553,218
left,2546,220
things,2542,221
relationship,2538,222
true,2530,223
later,2513,224
big,2508,225
much,2498,226
look,2492,227
because,2479,228
four,2477,229
2011,2476,230
2008,2472,231
la,2470,232
meet,2440,233
lost,2427,234
begins,2423,235
art,2381,236
ever,2379,237
once,2377,238
face,2361,240
human,2361,239
know,2356,241
secret,2324,242
without,2314,243
under,2303,244
2010,2302,245
tries,2296,246
team,2294,247
child,2287,248
making,2286,249
everything,2276,250
days,2264,251
any,2262,252
parents,2260,253
again,2239,254
based,2235,257
business,2235,256
he's,2235,255
may,2234,258
village,2230,259
beautiful,2223,260
working,2195,261
personal,2192,262
sister,2191,263
order,2178,265
having,2178,264
too,2171,266
could,2167,267
trying,2159,268
game,2156,269
since,2148,270
married,2142,271
change,2141,272
2007,2132,273
former,2132,274
known,2129,275
2006,2118,276
such,2116,277
makes,2109,278
falls,2097,279
finally,2092,280
community,2090,281
going,2086,282
themselves,2084,283
next,2080,284
dead,2056,285
whose,2049,286
found,2043,287
fight,2029,288
director,2027,289
future,2021,290
events,2020,291
herself,2007,292
called,1996,293
heart,1993,294
dream,1988,295
something,1975,296
black,1972,298
dreams,1972,297
john,1971,299
including,1962,300
interviews,1955,301
shows,1952,302
reality,1941,303
york,1935,304
turns,1914,305
named,1899,306
power,1882,307
comedy,1876,308
doesn't,1868,309
always,1865,310
five,1861,311
girls,1852,312
few,1848,313
experience,1845,314
short,1827,315
turn,1824,316
discovers,1815,317
starts,1804,318
age,1801,319
marriage,1796,320
murder,1794,321
across,1792,322
characters,1790,323
save,1781,324
tv,1780,325
special,1778,326
party,1777,327
dark,1769,329
search,1769,328
2005,1754,330
run,1751,331
america,1739,332
couple,1737,333
leave,1736,334
play,1735,335
forced,1731,336
social,1731,337
return,1726,338
star,1718,339
sex,1708,340
self,1699,341
car,1692,342
give,1676,343
discover,1671,344
yet,1665,345
land,1665,346
video,1658,347
society,1657,348
killed,1646,349
mysterious,1644,350
keep,1639,351
gang,1638,352
try,1628,353
returns,1624,354
name,1624,355
right,1622,356
start,1620,357
company,1617,358
dr,1615,359
escape,1604,360
state,1595,361
career,1587,362
upon,1586,363
truth,1584,364
why,1583,365
others,1582,366
really,1582,367
works,1577,368
modern,1577,369
road,1572,370
head,1571,371
learn,1569,373
seems,1569,372
want,1568,374
bring,1554,375
side,1552,376
unique,1548,377
2004,1535,378
hope,1535,379
college,1529,380
2,1521,381
looking,1520,382
second,1520,383
my,1519,384
put,1510,385
hard,1507,387
girlfriend,1507,386
artist,1506,388
footage,1496,389
south,1478,390
follow,1476,391
decide,1466,392
within,1464,393
several,1463,394
full,1460,395
shot,1453,396
political,1448,397
seen,1447,398
body,1443,399
fall,1443,400
street,1440,401
leaves,1437,402
qv,1432,403
inside,1431,404
white,1427,405
culture,1419,406
stop,1415,407
island,1410,408
hand,1408,410
students,1408,409
famous,1404,411
gives,1402,412
law,1398,413
struggle,1396,414
late,1393,415
trip,1388,416
members,1386,417
lead,1386,418
explores,1385,419
ex,1381,421
films,1381,420
middle,1376,422
student,1373,423
rich,1372,424
s,1366,425
nothing,1363,427
getting,1363,426
prison,1358,428
drama,1352,429
battle,1350,430
taking,1346,432
chance,1346,431
better,1346,433
government,1342,434
band,1341,436
use,1341,435
public,1338,438
top,1338,439
free,1338,437
room,1333,440
century,1332,441
ii,1331,442
person,1329,443
problems,1326,444
crime,1321,445
taken,1314,446
plan,1312,447
case,1306,448
times,1300,449
far,1295,450
evil,1289,451
everyone,1286,452
jack,1286,453
class,1285,454
marry,1285,455
alone,1281,456
six,1276,457
care,1272,458
whom,1269,459
000,1265,460
2003,1265,461
rock,1264,463
close,1264,462
able,1261,464
project,1256,465
action,1251,466
stay,1251,467
early,1247,470
learns,1247,468
brings,1247,469
tell,1244,471
earth,1242,472
she's,1240,473
among,1235,474
dance,1234,475
mind,1233,476
following,1233,477
using,1232,479
drug,1232,478
scenes,1231,480
present,1230,481
david,1229,483
move,1229,482
question,1229,484
deep,1226,485
coming,1222,486
despite,1216,487
today,1215,490
3,1215,488
king,1215,489
need,1213,491
born,1210,492
television,1207,493
crew,1205,494
control,1204,495
told,1204,496
strange,1200,497
bad,1197,498
used,1197,499
did,1197,500
news,1191,501
ago,1188,502
kids,1188,503
eventually,1184,504
don't,1179,505
childhood,1177,506
leads,1176,507
successful,1175,508
international,1174,511
national,1174,509
course,1174,510
final,1173,512
boys,1172,513
kill,1169,514
hollywood,1168,515
families,1168,516
often,1165,517
visit,1161,518
point,1159,519
summer,1157,520
1,1156,521
light,1155,522
book,1153,523
begin,1151,524
though,1148,525
killer,1143,526
sets,1143,527
knows,1141,528
water,1139,529
scene,1139,530
forces,1138,531
food,1132,532
united,1132,533
program,1126,534
doctor,1124,535
mr,1121,536
here,1119,537
sees,1116,538
army,1114,539
looks,1110,540
attempt,1109,541
feature,1107,542
original,1103,544
character,1103,543
can't,1101,545
became,1100,546
west,1098,547
call,1097,549
due,1097,550
form,1097,548
share,1096,551
camera,1095,552
teacher,1093,553
meanwhile,1092,554
break,1091,555
features,1091,556
situation,1090,557
owner,1089,558
artists,1086,559
process,1085,560
mission,1084,562
baby,1084,563
arrives,1084,561
leaving,1083,564
plans,1082,565
states,1081,566
involved,1079,567
role,1079,568
tale,1077,569
boyfriend,1076,570
various,1075,571
deal,1075,572
single,1074,573
friendship,1074,574
important,1073,576
join,1073,577
wild,1073,575
enough,1070,578
questions,1068,580
north,1068,579
race,1065,581
ends,1063,582
stage,1061,583
nature,1054,584
female,1052,585
success,1052,586
los,1049,587
brothers,1048,588
struggles,1047,589
michael,1044,590
travel,1041,591
building,1038,595
adventure,1038,593
e,1038,592
club,1038,594
hospital,1037,596
episode,1036,597
streets,1036,598
2000,1032,599
accident,1031,600
half,1030,601
popular,1029,602
filmmaker,1027,604
given,1027,603
eyes,1019,606
powerful,1019,605
needs,1017,608
identity,1017,607
line,1015,609
red,1014,610
means,1013,611
tom,1012,612
almost,1012,613
military,1009,615
survive,1009,614
runs,1007,616
space,1005,617
sent,1004,618
suddenly,1003,619
happy,1000,620
attempts,997,621
force,994,622
experiences,992,623
u,990,624
fact,990,625
open,987,626
offers,985,627
created,984,629
win,984,628
brought,984,630
2001,982,631
ways,981,632
months,981,633
revenge,977,634
paul,973,635
london,973,636
blood,972,637
thing,971,638
2002,970,640
father's,970,641
10,970,639
leading,969,642
reveals,966,643
2018,965,644
beyond,965,646
media,965,647
suicide,965,645
die,965,648
james,963,649
doing,962,651
watch,962,650
stars,961,652
audience,960,653
changes,958,654
poor,958,655
outside,957,657
create,957,656
writer,954,658
spirit,953,659
hands,950,661
industry,950,660
got,948,662
asks,947,663
issues,946,664
cast,945,665
sexual,945,666
fear,942,667
instead,939,668
wrong,938,669
someone,934,670
anything,933,672
turned,933,671
wealthy,931,673
forever,930,674
should,928,676
secrets,928,675
major,927,677
trouble,924,678
front,924,680
although,924,679
happens,923,681
production,920,682
winning,915,683
leader,915,684
style,914,685
dangerous,913,686
hour,913,687
quickly,912,688
5,910,690
problem,910,689
beauty,910,692
sea,910,691
led,908,694
me,908,695
guy,908,696
throughout,908,693
loves,907,698
violence,907,697
realizes,906,699
fun,904,700
freedom,904,702
world's,904,701
daily,903,703
german,900,704
boss,899,705
talk,898,706
youth,898,707
came,896,709
ancient,896,708
believe,895,710
support,892,711
large,891,712
god,890,715
gold,890,714
apartment,890,713
re,889,716
finding,883,718
becoming,883,717
main,881,721
british,881,720
',881,722
running,881,719
hit,880,723
memories,880,724
award,879,725
took,877,727
week,877,726
quest,876,728
le,875,729
believes,874,731
might,874,730
perfect,871,733
musical,871,732
health,868,734
event,867,735
whole,866,736
un,864,737
million,864,738
died,863,739
office,859,740
possible,857,742
challenges,857,741
beginning,855,743
christmas,854,744
affair,854,745
greatest,848,746
featuring,848,747
seven,848,748
hotel,846,749
moves,845,750
growing,844,751
faith,844,752
train,843,753
missing,842,757
lover,842,755
el,842,754
hidden,842,756
system,841,759
pay,841,758
killing,840,761
stand,840,762
passion,840,760
tour,839,763
entire,839,764
cultural,838,766
joe,838,765
changed,837,767
lady,836,768
thought,836,769
view,834,770
private,833,771
struggling,831,772
professional,830,773
wedding,827,774
playing,826,775
near,825,776
angeles,824,779
caught,824,777
detective,824,778
relationships,823,780
sense,821,781
camp,820,783
filmed,820,782
horror,818,784
20,818,786
lived,818,785
played,817,787
went,815,789
birth,815,788
feels,814,790
di,811,791
idea,810,794
actor,810,795
east,810,793
think,810,792
ten,808,796
dies,807,797
india,807,798
french,806,799
peter,804,800
soul,803,801
whether,801,802
moment,800,803
door,799,804
act,797,805
1999,796,806
agent,796,807
actually,795,808
fighting,791,809
younger,790,810
gay,790,811
determined,789,812
african,788,813
let,788,814
number,787,815
older,786,816
sometimes,786,817
portrait,785,819
strong,785,818
kind,784,820
travels,783,821
peace,782,822
mystery,782,823
fire,781,824
hopes,780,825
meeting,779,826
understand,779,827
fate,778,828
george,776,830
hot,776,829
actors,776,831
area,775,832
dog,775,833
alive,774,835
jim,774,834
includes,773,836
intimate,772,837
mary,772,838
emotional,771,839
california,771,840
produced,770,841
ultimately,769,842
cannot,767,844
hours,767,843
bill,766,847
air,766,845
rise,766,846
river,765,848
mark,765,849
unknown,759,850
rest,758,851
movement,758,852
30,757,853
farm,757,854
festival,756,857
officer,756,856
uncle,756,855
generation,755,860
result,755,861
center,755,859
professor,755,858
host,754,862
san,752,865
simple,752,864
desperate,752,863
plot,751,867
path,751,866
university,750,870
paris,750,869
abandoned,750,868
church,749,871
already,748,872
europe,747,873
inspired,743,874
co,742,875
moving,741,876
happened,740,878
park,740,877
places,736,879
met,736,882
drugs,736,880
encounter,736,881
lot,734,883
spend,733,885
loss,733,884
indian,731,886
itself,729,887
thinks,729,888
robert,728,889
cross,727,890
difficult,727,891
viewers,726,893
realize,726,892
medical,725,894
japanese,725,895
appears,724,896
president,723,897
justice,722,898
images,721,899
crisis,719,900
performance,719,901
frank,719,902
master,718,903
actress,717,905
partner,717,904
released,716,906
presents,715,907
non,715,908
anyone,714,909
towards,714,911
singer,714,910
pregnant,710,912
common,709,913
ready,707,914
sam,706,917
adventures,706,915
4,706,916
tragic,705,918
memory,704,920
started,704,919
biggest,703,921
ride,702,922
challenge,702,923
voice,701,925
unexpected,701,924
hero,700,926
words,698,927
opportunity,698,928
post,697,929
movies,697,930
murdered,697,931
chinese,696,934
twenty,696,933
step,696,932
uses,695,935
broken,694,936
unable,692,937
feel,690,938
conflict,690,939
complete,689,942
eye,689,940
explore,689,941
western,688,944
1998,688,946
isn't,688,943
written,688,945
plays,687,948
especially,687,947
rather,685,949
apart,684,950
piece,684,952
morning,684,951
mountain,682,953
bob,682,955
mental,682,954
continue,681,957
traditional,681,956
hell,680,958
everyday,680,959
teenage,680,960
decision,679,961
sound,677,962
extraordinary,677,963
mexico,676,964
current,675,965
desire,675,967
picture,675,966
general,674,971
filled,674,968
less,674,970
fashion,674,969
male,673,972
radio,672,973
existence,671,975
who's,671,974
service,671,976
bank,670,979
criminal,670,977
attention,670,978
faces,667,980
gone,666,981
natural,665,982
tragedy,663,983
member,662,984
waiting,662,985
vs,661,986
attack,661,987
rescue,660,988
information,659,990
third,659,989
wanted,656,991
violent,656,992
song,653,993
test,652,994
else,651,995
en,650,996
happiness,649,997
refuses,648,998
cinema,647,999
africa,646,1001
period,646,1000
fortune,645,1002
producer,645,1003
victims,644,1004
held,643,1005
feelings,642,1006
remains,641,1008
figure,641,1007
china,641,1009
1997,640,1010
meaning,640,1011
hold,639,1012
station,639,1013
estate,638,1014
research,636,1015
answer,636,1017
kid,636,1018
encounters,636,1016
say,635,1019
mike,634,1022
classic,634,1023
changing,634,1020
season,634,1021
choice,633,1024
legendary,633,1025
title,632,1026
decided,632,1027
build,631,1030
prove,631,1028
legend,631,1029
urban,630,1032
education,630,1031
bar,630,1033
lies,629,1034
recently,627,1035
science,626,1037
rights,626,1036
seem,625,1038
ultimate,624,1040
anna,624,1039
calls,623,1045
quite,623,1041
global,623,1044
texas,623,1042
fans,623,1043
